Wine Consumption Per Capita in Albania,
,
Date,Liters of Pure Alcohol
2019,1.33
2018,1.30
2017,1.30
2016,1.27
2015,1.10
2014,1.00
2013,1.07
2012,1.12
2011,1.08
2010,1.08
2009,1.06
2008,0.97
2007,1.06
2006,1.00
2005,1.02
2004,0.82
2003,0.58
2002,0.40
2001,0.80
2000,0.42
1999,0.76
1998,0.62
1997,0.98
1996,1.37
1995,1.05
1994,0.68
1993,0.66
1992,0.67
1991,0.61
1990,0.65
1989,0.46
1988,0.37
1987,0.41
1986,0.24
1985,0.23
1984,0.25
1983,0.29
1982,0.20
1981,0.40
1980,0.44
1979,0.16
1978,0.30
1977,0.16
1976,0.14
1975,0.14
1974,0.19
1973,0.34
1972,0.23
1971,0.13
1970,0.51
1969,0.47
1968,0.36
1967,0.19
1966,0.13
1965,0.21
1964,0.26
1963,0.19
1962,0.28
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/albania-wine-consumption-per-capita,
