Wine Consumption Per Capita in Algeria,
,
Date,Liters of Pure Alcohol
2019,0.18
2018,0.18
2017,0.18
2016,0.18
2015,0.17
2014,0.16
2013,0.14
2012,0.13
2011,0.13
2010,0.13
2009,0.19
2008,0.14
2007,0.14
2006,0.18
2005,0.18
2004,0.18
2003,0.12
2002,0.18
2001,0.12
2000,0.13
1999,0.00
1998,0.00
1997,0.00
1996,0.00
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.23
1988,0.25
1987,0.10
1986,0.10
1985,0.11
1984,0.12
1983,0.13
1982,0.13
1981,0.17
1980,0.19
1979,0.26
1978,0.58
1977,0.67
1976,0.98
1975,1.04
1974,1.12
1973,1.07
1972,2.04
1971,1.61
1970,1.17
1969,1.27
1968,0.82
1967,0.50
1966,0.50
1965,0.58
1964,0.57
1963,0.73
1962,1.14
1961,1.60
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/algeria-wine-consumption-per-capita,
