Wine Consumption Per Capita in Angola,
,
Date,Liters of Pure Alcohol
2019,0.61
2018,0.64
2017,0.59
2016,0.73
2015,1.24
2014,1.28
2013,1.00
2012,1.01
2011,0.96
2010,0.95
2009,0.90
2008,1.36
2007,1.24
2006,1.20
2005,1.01
2004,0.77
2003,0.69
2002,0.57
2001,0.56
2000,0.38
1999,0.39
1998,0.91
1997,0.81
1996,0.49
1995,0.56
1994,0.73
1993,0.69
1992,1.22
1991,0.78
1990,0.65
1989,0.82
1988,0.58
1987,0.24
1986,0.32
1985,0.83
1984,0.57
1983,0.52
1982,0.37
1981,0.49
1980,0.33
1979,0.22
1978,0.05
1977,0.19
1976,0.39
1975,0.80
1974,1.73
1973,1.66
1972,1.90
1971,2.37
1970,3.20
1969,3.62
1968,3.65
1967,3.87
1966,4.35
1965,4.01
1964,3.50
1963,2.93
1962,2.38
1961,3.36
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/angola-wine-consumption-per-capita,
