Wine Consumption Per Capita in Antigua and Barbuda,
,
Date,Liters of Pure Alcohol
2019,1.07
2018,1.08
2017,1.11
2016,1.19
2015,1.23
2014,1.27
2013,1.32
2012,1.33
2011,1.37
2010,1.50
2009,1.64
2008,2.00
2007,1.76
2006,1.62
2005,1.59
2004,1.40
2003,1.49
2002,1.33
2001,1.26
2000,1.23
1999,0.78
1998,0.64
1997,0.68
1996,0.52
1995,0.51
1994,0.93
1993,1.09
1992,1.12
1991,1.08
1990,1.00
1989,1.30
1988,0.78
1987,0.34
1986,0.31
1985,0.26
1984,0.65
1983,0.26
1982,0.13
1981,0.85
1980,0.58
1979,0.22
1978,0.23
1977,0.20
1976,0.06
1975,0.05
1974,0.08
1973,0.07
1972,0.03
1971,0.03
1970,0.04
1969,0.03
1968,0.04
1967,0.03
1966,0.02
1965,0.01
1964,0.02
1963,0.10
1962,0.09
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/antigua-and-barbuda-wine-consumption-per-capita,
