Wine Consumption Per Capita in Argentina,
,
Date,Liters of Pure Alcohol
2019,2.77
2018,2.86
2017,3.14
2016,3.10
2015,3.38
2014,3.19
2013,3.48
2012,3.49
2011,3.11
2010,3.91
2009,4.31
2008,4.45
2007,4.65
2006,4.67
2005,4.64
2004,5.03
2003,5.08
2002,5.28
2001,5.32
2000,5.30
1999,5.76
1998,5.87
1997,6.37
1996,6.40
1995,6.76
1994,7.13
1993,7.92
1992,8.61
1991,9.31
1990,9.42
1989,9.32
1988,9.71
1987,10.10
1986,10.30
1985,10.45
1984,11.53
1983,12.35
1982,12.77
1981,12.94
1980,13.18
1979,13.13
1978,13.93
1977,14.91
1976,14.21
1975,14.02
1974,12.95
1973,12.19
1972,13.35
1971,14.42
1970,15.60
1969,15.07
1968,14.93
1967,14.16
1966,13.75
1965,14.75
1964,14.96
1963,14.85
1962,14.03
1961,13.61
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/argentina-wine-consumption-per-capita,
