Wine Consumption Per Capita in Armenia,
,
Date,Liters of Pure Alcohol
2019,0.38
2018,0.38
2017,0.38
2016,0.30
2015,0.22
2014,0.22
2013,0.28
2012,0.25
2011,0.31
2010,0.24
2009,0.23
2008,0.18
2007,0.18
2006,0.22
2005,0.36
2004,0.34
2003,0.12
2002,0.22
2001,0.29
2000,0.20
1999,0.31
1998,0.17
1997,0.24
1996,0.43
1995,0.55
1994,1.26
1993,1.43
1992,1.28
1991,2.13
1990,2.18
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/armenia-wine-consumption-per-capita,
