Wine Consumption Per Capita in Austria,
,
Date,Liters of Pure Alcohol
2019,3.55
2018,3.60
2017,3.60
2016,3.70
2015,3.60
2014,4.20
2013,3.90
2012,4.10
2011,4.10
2010,4.30
2009,4.00
2008,3.89
2007,4.38
2006,4.39
2005,4.05
2004,3.82
2003,4.06
2002,3.95
2001,4.20
2000,4.33
1999,4.20
1998,4.30
1997,4.20
1996,4.40
1995,4.50
1994,4.30
1993,4.50
1992,4.60
1991,4.70
1990,4.80
1989,4.90
1988,4.80
1987,4.70
1986,4.60
1985,4.80
1984,5.10
1983,5.30
1982,5.00
1981,5.00
1980,5.10
1979,5.20
1978,5.10
1977,5.30
1976,5.40
1975,5.20
1974,5.30
1973,5.50
1972,5.40
1971,5.40
1970,5.20
1969,5.00
1968,5.00
1967,4.80
1966,4.70
1965,4.00
1964,3.10
1963,3.00
1962,2.90
1961,3.01
1960,2.81
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/austria-wine-consumption-per-capita,
