Wine Consumption Per Capita in Azerbaijan,
,
Date,Liters of Pure Alcohol
2019,0.12
2018,0.13
2017,0.13
2016,0.15
2015,0.13
2014,0.15
2013,0.15
2012,0.15
2011,0.15
2010,0.15
2009,0.17
2008,0.12
2007,0.10
2006,0.07
2005,0.04
2004,0.02
2003,0.04
2002,0.08
2001,0.05
2000,0.06
1999,0.89
1998,1.35
1997,0.16
1996,0.10
1995,0.13
1994,0.18
1993,0.47
1992,0.13
1991,2.88
1990,2.92
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/azerbaijan-wine-consumption-per-capita,
