Wine Consumption Per Capita in Bahamas,
,
Date,Liters of Pure Alcohol
2019,1.39
2018,1.40
2017,1.38
2016,1.38
2015,1.37
2014,1.36
2013,1.35
2012,1.36
2011,1.40
2010,1.39
2009,1.45
2008,1.55
2007,1.56
2006,1.42
2005,1.32
2004,1.26
2003,1.42
2002,1.52
2001,1.54
2000,1.52
1999,1.14
1998,0.93
1997,0.97
1996,0.81
1995,1.65
1994,1.33
1993,1.51
1992,1.63
1991,1.77
1990,1.98
1989,1.50
1988,1.41
1987,2.16
1986,1.83
1985,1.90
1984,1.92
1983,2.21
1982,3.03
1981,1.68
1980,2.15
1979,2.12
1978,2.24
1977,2.20
1976,2.87
1975,1.95
1974,2.08
1973,2.66
1972,2.08
1971,1.88
1970,2.04
1969,2.25
1968,1.57
1967,1.64
1966,1.62
1965,1.72
1964,1.28
1963,1.14
1962,1.08
1961,1.16
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/bahamas-wine-consumption-per-capita,
