Wine Consumption Per Capita in Bahrain,
,
Date,Liters of Pure Alcohol
2019,0.10
2018,0.10
2017,0.10
2016,0.11
2015,0.11
2014,0.10
2013,0.09
2012,0.09
2011,0.09
2010,0.11
2009,0.11
2008,0.11
2007,0.10
2006,0.10
2005,0.10
2004,0.10
2003,0.09
2002,0.12
2001,0.12
2000,0.12
1999,0.15
1998,0.12
1997,0.24
1996,0.10
1995,0.12
1994,0.15
1993,0.16
1992,0.17
1991,0.10
1990,0.21
1989,0.22
1988,0.22
1987,0.46
1986,0.24
1985,0.49
1984,0.56
1983,0.56
1982,0.62
1981,0.23
1980,0.21
1979,0.18
1978,
1977,0.46
1976,
1975,0.36
1974,0.22
1973,0.21
1972,0.14
1971,0.16
1970,0.14
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/bahrain-wine-consumption-per-capita,
