Wine Consumption Per Capita in Barbados,
,
Date,Liters of Pure Alcohol
2019,0.69
2018,0.68
2017,0.69
2016,0.67
2015,0.70
2014,0.66
2013,0.66
2012,0.68
2011,0.69
2010,0.69
2009,0.62
2008,0.70
2007,0.68
2006,0.63
2005,0.58
2004,0.58
2003,0.58
2002,0.56
2001,0.54
2000,0.51
1999,0.53
1998,0.25
1997,0.46
1996,0.40
1995,0.41
1994,0.43
1993,0.33
1992,0.34
1991,0.38
1990,0.36
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/barbados-wine-consumption-per-capita,
