Wine Consumption Per Capita in Belarus,
,
Date,Liters of Pure Alcohol
2019,0.91
2018,0.91
2017,0.85
2016,0.80
2015,0.75
2014,0.84
2013,0.84
2012,0.76
2011,0.73
2010,0.75
2009,0.61
2008,0.65
2007,0.62
2006,0.59
2005,0.56
2004,0.22
2003,0.49
2002,0.41
2001,0.37
2000,0.17
1999,0.83
1998,0.72
1997,0.37
1996,0.28
1995,0.41
1994,0.66
1993,0.48
1992,0.24
1991,1.25
1990,1.28
1989,1.34
1988,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/belarus-wine-consumption-per-capita,
