Wine Consumption Per Capita in Belize,
,
Date,Liters of Pure Alcohol
2019,0.18
2018,0.18
2017,0.18
2016,0.19
2015,0.17
2014,0.17
2013,0.17
2012,0.17
2011,0.18
2010,0.18
2009,0.17
2008,0.23
2007,0.22
2006,0.19
2005,0.18
2004,0.16
2003,0.16
2002,0.16
2001,0.15
2000,0.14
1999,0.06
1998,0.07
1997,0.07
1996,0.10
1995,0.08
1994,0.11
1993,0.12
1992,0.11
1991,0.08
1990,0.12
1989,
1988,0.18
1987,0.18
1986,0.21
1985,0.17
1984,0.15
1983,0.14
1982,0.16
1981,0.16
1980,0.14
1979,0.16
1978,0.11
1977,0.05
1976,0.08
1975,0.08
1974,0.13
1973,0.09
1972,0.06
1971,0.06
1970,0.06
1969,0.06
1968,0.07
1967,0.03
1966,0.03
1965,0.05
1964,0.07
1963,0.06
1962,0.06
1961,0.06
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/belize-wine-consumption-per-capita,
