Wine Consumption Per Capita in Benin,
,
Date,Liters of Pure Alcohol
2019,0.05
2018,0.06
2017,0.06
2016,0.08
2015,0.09
2014,0.11
2013,0.09
2012,0.13
2011,0.22
2010,0.25
2009,0.20
2008,0.16
2007,0.17
2006,0.17
2005,0.14
2004,0.12
2003,0.12
2002,0.10
2001,0.12
2000,0.12
1999,0.12
1998,0.12
1997,0.10
1996,0.09
1995,0.06
1994,0.04
1993,0.11
1992,0.08
1991,0.05
1990,0.07
1989,0.09
1988,0.10
1987,0.11
1986,0.12
1985,0.07
1984,0.08
1983,0.09
1982,0.15
1981,0.18
1980,0.11
1979,0.18
1978,0.19
1977,0.24
1976,0.21
1975,0.21
1974,0.13
1973,0.16
1972,0.18
1971,0.20
1970,0.17
1969,0.17
1968,0.21
1967,0.17
1966,0.19
1965,0.19
1964,0.23
1963,0.26
1962,0.22
1961,0.20
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/benin-wine-consumption-per-capita,
