Wine Consumption Per Capita in Bhutan,
,
Date,Liters of Pure Alcohol
2019,0.05
2018,0.05
2017,0.05
2016,0.00
2015,0.00
2014,0.00
2013,0.00
2012,0.01
2011,0.01
2010,0.01
2009,0.01
2008,0.01
2007,0.01
2006,0.01
2005,0.01
2004,0.01
2003,0.01
2002,0.01
2001,0.01
2000,0.01
1999,0.00
1998,0.00
1997,0.00
1996,0.00
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.00
1981,0.00
1980,0.00
1979,0.00
1978,0.00
1977,0.00
1976,0.00
1975,0.00
1974,0.00
1973,0.00
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/bhutan-wine-consumption-per-capita,
