Wine Consumption Per Capita in Bolivia,
,
Date,Liters of Pure Alcohol
2019,0.15
2018,0.14
2017,0.14
2016,0.16
2015,0.13
2014,0.13
2013,0.16
2012,0.14
2011,0.16
2010,0.16
2009,0.14
2008,0.17
2007,0.16
2006,0.16
2005,0.08
2004,0.06
2003,0.06
2002,0.05
2001,0.06
2000,0.06
1999,0.06
1998,0.06
1997,0.06
1996,0.06
1995,0.06
1994,0.06
1993,0.07
1992,0.06
1991,0.07
1990,0.07
1989,0.08
1988,0.09
1987,0.10
1986,0.09
1985,0.09
1984,0.09
1983,0.09
1982,0.09
1981,0.09
1980,0.09
1979,0.10
1978,0.10
1977,0.08
1976,0.08
1975,0.07
1974,0.07
1973,0.06
1972,0.06
1971,0.04
1970,0.04
1969,0.04
1968,0.04
1967,0.05
1966,0.05
1965,0.05
1964,0.05
1963,0.05
1962,0.06
1961,0.06
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/bolivia-wine-consumption-per-capita,
