Wine Consumption Per Capita in Bosnia and Herzegovina,
,
Date,Liters of Pure Alcohol
2019,0.45
2018,0.44
2017,0.44
2016,0.43
2015,0.46
2014,0.47
2013,0.46
2012,0.42
2011,0.42
2010,0.44
2009,0.46
2008,0.47
2007,0.49
2006,0.38
2005,0.36
2004,0.34
2003,0.34
2002,0.32
2001,0.41
2000,0.22
1999,0.20
1998,0.28
1997,0.21
1996,0.15
1995,0.78
1994,0.43
1993,0.48
1992,0.84
1991,0.68
1990,0.59
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/bosnia-and-herzegovina-wine-consumption-per-capita,
