Wine Consumption Per Capita in Botswana,
,
Date,Liters of Pure Alcohol
2019,0.34
2018,0.38
2017,0.37
2016,0.28
2015,0.26
2014,0.27
2013,0.42
2012,0.43
2011,0.56
2010,0.72
2009,0.71
2008,1.14
2007,1.83
2006,1.43
2005,0.91
2004,0.45
2003,0.46
2002,0.53
2001,0.23
2000,0.34
1999,0.28
1998,0.23
1997,0.31
1996,0.19
1995,0.25
1994,0.39
1993,0.23
1992,0.97
1991,0.31
1990,0.23
1989,0.16
1988,0.40
1987,0.20
1986,0.31
1985,0.19
1984,0.95
1983,0.31
1982,0.25
1981,0.29
1980,0.19
1979,0.21
1978,0.26
1977,0.16
1976,0.10
1975,0.17
1974,0.15
1973,0.16
1972,0.17
1971,0.15
1970,0.13
1969,0.14
1968,0.12
1967,0.12
1966,0.12
1965,0.13
1964,0.13
1963,0.13
1962,0.13
1961,0.14
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/botswana-wine-consumption-per-capita,
