Wine Consumption Per Capita in Brazil,
,
Date,Liters of Pure Alcohol
2019,0.25
2018,0.26
2017,0.26
2016,0.23
2015,0.24
2014,0.26
2013,0.27
2012,0.25
2011,0.30
2010,0.30
2009,0.29
2008,0.27
2007,0.28
2006,0.30
2005,0.33
2004,0.28
2003,0.28
2002,0.30
2001,0.29
2000,0.31
1999,0.30
1998,0.30
1997,0.30
1996,0.30
1995,0.31
1994,0.29
1993,0.30
1992,0.30
1991,0.30
1990,0.30
1989,0.31
1988,0.48
1987,0.35
1986,0.49
1985,0.44
1984,0.44
1983,0.47
1982,0.48
1981,0.41
1980,0.46
1979,0.53
1978,0.53
1977,0.50
1976,0.46
1975,0.44
1974,0.46
1973,0.54
1972,0.54
1971,0.46
1970,0.50
1969,0.53
1968,0.47
1967,0.44
1966,0.36
1965,0.36
1964,0.44
1963,0.45
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/brazil-wine-consumption-per-capita,
