Wine Consumption Per Capita in Brunei,
,
Date,Liters of Pure Alcohol
2019,0.00
2018,0.01
2017,0.01
2016,0.01
2015,0.01
2014,0.01
2013,0.03
2012,0.00
2011,0.00
2010,0.00
2009,0.00
2008,0.00
2007,0.00
2006,0.00
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.01
2000,0.01
1999,0.04
1998,0.02
1997,0.02
1996,0.03
1995,0.02
1994,0.02
1993,0.02
1992,
1991,0.10
1990,0.10
1989,0.15
1988,0.12
1987,0.15
1986,0.10
1985,0.51
1984,0.94
1983,0.43
1982,0.50
1981,0.18
1980,0.13
1979,0.13
1978,0.18
1977,0.12
1976,0.09
1975,0.08
1974,0.08
1973,0.07
1972,0.04
1971,0.05
1970,0.04
1969,0.03
1968,0.03
1967,0.03
1966,0.03
1965,0.04
1964,0.04
1963,0.04
1962,0.04
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/brunei-wine-consumption-per-capita,
