Wine Consumption Per Capita in Bulgaria,
,
Date,Liters of Pure Alcohol
2019,1.74
2018,1.73
2017,1.73
2016,2.02
2015,1.96
2014,1.80
2013,1.52
2012,1.93
2011,0.95
2010,1.12
2009,1.63
2008,1.49
2007,1.48
2006,1.37
2005,1.68
2004,1.80
2003,2.51
2002,2.34
2001,2.74
2000,2.05
1999,2.81
1998,2.91
1997,2.86
1996,2.89
1995,2.92
1994,2.96
1993,2.99
1992,3.13
1991,2.81
1990,3.24
1989,3.02
1988,3.22
1987,3.13
1986,3.08
1985,2.82
1984,3.28
1983,3.17
1982,3.49
1981,3.56
1980,3.11
1979,3.17
1978,3.69
1977,3.32
1976,3.77
1975,3.32
1974,3.70
1973,3.88
1972,3.27
1971,3.28
1970,2.98
1969,3.46
1968,4.27
1967,3.39
1966,3.23
1965,3.52
1964,3.09
1963,3.50
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/bulgaria-wine-consumption-per-capita,
