Wine Consumption Per Capita in Burkina Faso,
,
Date,Liters of Pure Alcohol
2019,0.09
2018,0.09
2017,0.09
2016,0.09
2015,0.13
2014,0.14
2013,0.10
2012,0.18
2011,0.17
2010,0.12
2009,0.08
2008,0.07
2007,0.07
2006,0.09
2005,0.09
2004,0.10
2003,0.07
2002,0.08
2001,0.08
2000,0.08
1999,0.04
1998,0.02
1997,0.02
1996,0.02
1995,0.02
1994,0.01
1993,0.00
1992,0.01
1991,0.00
1990,0.01
1989,0.01
1988,0.01
1987,0.01
1986,0.02
1985,0.00
1984,0.02
1983,0.03
1982,0.03
1981,0.04
1980,0.03
1979,0.03
1978,0.11
1977,0.04
1976,0.06
1975,0.07
1974,0.08
1973,0.08
1972,0.08
1971,0.07
1970,0.06
1969,0.04
1968,0.04
1967,0.04
1966,0.06
1965,0.07
1964,0.07
1963,0.10
1962,0.10
1961,0.10
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/burkina-faso-wine-consumption-per-capita,
