Wine Consumption Per Capita in Burundi,
,
Date,Liters of Pure Alcohol
2019,0.00
2018,0.00
2017,0.00
2016,0.00
2015,0.00
2014,0.00
2013,0.00
2012,0.00
2011,0.00
2010,0.00
2009,0.00
2008,0.00
2007,0.00
2006,0.00
2005,0.01
2004,0.01
2003,0.00
2002,0.01
2001,0.01
2000,0.01
1999,0.00
1998,0.00
1997,0.00
1996,0.00
1995,0.01
1994,0.01
1993,0.01
1992,0.01
1991,0.01
1990,0.01
1989,0.01
1988,0.01
1987,0.01
1986,0.01
1985,0.01
1984,0.01
1983,0.02
1982,0.04
1981,0.02
1980,0.02
1979,0.02
1978,0.02
1977,0.02
1976,0.01
1975,0.01
1974,0.02
1973,0.02
1972,0.02
1971,0.01
1970,0.02
1969,0.01
1968,0.03
1967,0.02
1966,0.02
1965,0.02
1964,0.02
1963,0.01
1962,0.01
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/burundi-wine-consumption-per-capita,
