Wine Consumption Per Capita in Cabo Verde,
,
Date,Liters of Pure Alcohol
2019,1.56
2018,1.57
2017,1.57
2016,1.56
2015,1.84
2014,1.62
2013,1.26
2012,1.58
2011,1.61
2010,1.68
2009,1.49
2008,1.94
2007,2.59
2006,1.92
2005,1.99
2004,1.84
2003,1.44
2002,1.52
2001,1.28
2000,0.95
1999,1.39
1998,1.74
1997,1.82
1996,2.17
1995,2.53
1994,2.79
1993,3.58
1992,2.72
1991,1.88
1990,1.36
1989,1.69
1988,2.24
1987,2.13
1986,1.74
1985,1.39
1984,1.61
1983,1.08
1982,0.98
1981,0.96
1980,0.94
1979,0.93
1978,1.37
1977,1.81
1976,2.19
1975,2.98
1974,2.06
1973,2.04
1972,1.86
1971,1.20
1970,1.08
1969,1.13
1968,1.41
1967,1.13
1966,1.32
1965,1.29
1964,1.17
1963,1.04
1962,1.08
1961,1.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/cape-verde-wine-consumption-per-capita,
