Wine Consumption Per Capita in Cambodia,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.02
2015,0.02
2014,0.02
2013,0.01
2012,0.01
2011,0.01
2010,0.01
2009,0.01
2008,0.01
2007,0.01
2006,0.01
2005,0.00
2004,0.00
2003,0.00
2002,0.00
2001,0.00
2000,0.00
1999,0.01
1998,0.00
1997,0.01
1996,0.03
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/cambodia-wine-consumption-per-capita,
