Wine Consumption Per Capita in Cameroon,
,
Date,Liters of Pure Alcohol
2019,0.12
2018,0.12
2017,0.12
2016,0.06
2015,0.09
2014,0.12
2013,0.11
2012,0.12
2011,0.11
2010,0.09
2009,0.08
2008,0.08
2007,0.07
2006,0.08
2005,0.09
2004,0.08
2003,0.08
2002,0.08
2001,0.09
2000,0.09
1999,0.08
1998,0.10
1997,0.09
1996,0.05
1995,0.06
1994,0.05
1993,0.07
1992,0.11
1991,0.03
1990,0.11
1989,0.13
1988,0.14
1987,0.12
1986,0.08
1985,0.09
1984,0.08
1983,0.09
1982,0.13
1981,0.04
1980,0.07
1979,0.09
1978,0.09
1977,0.33
1976,0.65
1975,0.55
1974,0.69
1973,0.61
1972,0.49
1971,0.45
1970,0.52
1969,0.53
1968,0.49
1967,0.59
1966,0.49
1965,0.41
1964,0.41
1963,0.37
1962,0.42
1961,0.42
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/cameroon-wine-consumption-per-capita,
