Wine Consumption Per Capita in Canada,
,
Date,Liters of Pure Alcohol
2019,2.21
2018,2.20
2017,2.10
2016,2.10
2015,2.00
2014,2.00
2013,2.00
2012,2.00
2011,1.90
2010,1.90
2009,1.90
2008,1.80
2007,1.80
2006,1.70
2005,1.60
2004,
2003,
2002,
2001,
2000,
1999,1.20
1998,1.20
1997,1.18
1996,1.14
1995,1.11
1994,1.10
1993,1.12
1992,1.11
1991,1.14
1990,1.21
1989,1.27
1988,1.34
1987,1.30
1986,1.33
1985,1.29
1984,1.24
1983,1.24
1982,1.22
1981,1.18
1980,1.11
1979,1.08
1978,0.96
1977,0.87
1976,0.83
1975,0.79
1974,0.75
1973,0.71
1972,0.65
1971,0.57
1970,0.51
1969,0.44
1968,0.42
1967,0.40
1966,0.38
1965,0.33
1964,0.33
1963,0.44
1962,0.41
1961,0.40
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/canada-wine-consumption-per-capita,
