Wine Consumption Per Capita in Central African Republic,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.01
2015,0.01
2014,0.01
2013,0.00
2012,0.01
2011,0.02
2010,0.01
2009,0.01
2008,0.01
2007,0.01
2006,0.09
2005,0.01
2004,0.01
2003,0.02
2002,0.02
2001,0.03
2000,0.03
1999,0.02
1998,0.03
1997,0.03
1996,0.03
1995,0.13
1994,0.06
1993,0.05
1992,0.07
1991,0.11
1990,0.14
1989,0.17
1988,0.20
1987,0.22
1986,0.36
1985,0.43
1984,0.46
1983,0.30
1982,0.74
1981,0.43
1980,0.36
1979,0.22
1978,0.24
1977,0.30
1976,0.32
1975,0.37
1974,0.29
1973,0.24
1972,0.32
1971,0.46
1970,0.54
1969,0.56
1968,0.63
1967,0.67
1966,0.53
1965,0.27
1964,0.71
1963,0.64
1962,0.71
1961,0.16
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/central-african-republic-wine-consumption-per-capita,
