Wine Consumption Per Capita in Chad,
,
Date,Liters of Pure Alcohol
2018,0.01
2017,0.01
2016,0.03
2015,0.01
2014,0.01
2013,0.01
2012,0.42
2011,0.47
2010,0.54
2009,0.19
2008,0.16
2007,0.14
2006,0.05
2005,0.05
2004,0.09
2003,0.05
2002,0.05
2001,0.05
2000,0.05
1999,0.10
1998,0.12
1997,0.16
1996,0.25
1995,0.09
1994,0.15
1993,0.14
1992,0.19
1991,0.21
1990,0.18
1989,0.01
1988,0.01
1987,0.02
1986,0.02
1985,0.05
1984,0.04
1983,0.00
1982,0.01
1981,0.01
1980,0.01
1979,0.02
1978,0.06
1977,0.07
1976,0.07
1975,0.06
1974,0.05
1973,0.07
1972,0.09
1971,0.09
1970,0.10
1969,0.13
1968,0.16
1967,0.17
1966,0.13
1965,0.16
1964,0.17
1963,0.09
1962,0.12
1961,0.08
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/chad-wine-consumption-per-capita,
