Wine Consumption Per Capita in Chile,
,
Date,Liters of Pure Alcohol
2019,2.59
2018,2.61
2017,2.61
2016,2.61
2015,2.61
2014,2.85
2013,2.37
2012,2.65
2011,2.51
2010,3.10
2009,2.85
2008,2.17
2007,2.83
2006,2.22
2005,2.59
2004,2.54
2003,2.60
2002,2.38
2001,2.38
2000,2.45
1999,2.81
1998,2.78
1997,2.02
1996,2.45
1995,3.38
1994,3.34
1993,3.19
1992,3.52
1991,3.80
1990,4.37
1989,4.43
1988,5.36
1987,5.41
1986,5.14
1985,5.96
1984,6.36
1983,6.29
1982,8.84
1981,7.08
1980,7.62
1979,7.81
1978,7.41
1977,8.09
1976,7.40
1975,6.90
1974,7.58
1973,8.86
1972,9.79
1971,8.62
1970,6.74
1969,6.92
1968,9.18
1967,8.89
1966,8.82
1965,6.96
1964,9.44
1963,9.15
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/chile-wine-consumption-per-capita,
