Wine Consumption Per Capita in Colombia,
,
Date,Liters of Pure Alcohol
2019,0.10
2018,0.10
2017,0.10
2016,0.10
2015,0.10
2014,0.10
2013,0.06
2012,0.06
2011,0.06
2010,0.05
2009,0.05
2008,0.05
2007,0.05
2006,0.05
2005,0.05
2004,0.04
2003,0.04
2002,0.04
2001,0.04
2000,0.02
1999,0.07
1998,0.07
1997,0.07
1996,0.07
1995,0.08
1994,0.08
1993,0.08
1992,0.08
1991,0.10
1990,0.12
1989,0.12
1988,0.14
1987,0.14
1986,0.15
1985,0.16
1984,0.12
1983,0.12
1982,0.14
1981,0.15
1980,0.17
1979,0.02
1978,0.02
1977,0.02
1976,0.02
1975,0.01
1974,0.02
1973,0.02
1972,0.01
1971,0.01
1970,0.01
1969,0.01
1968,0.01
1967,0.01
1966,0.02
1965,0.01
1964,0.01
1963,0.01
1962,0.01
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/colombia-wine-consumption-per-capita,
