Wine Consumption Per Capita in Comoros,
,
Date,Liters of Pure Alcohol
2019,0.05
2018,0.05
2017,0.05
2016,0.05
2015,0.05
2014,0.02
2013,0.07
2012,0.04
2011,0.04
2010,0.03
2009,0.04
2008,0.02
2007,0.03
2006,0.02
2005,0.03
2004,0.06
2003,0.05
2002,0.07
2001,0.04
2000,0.03
1999,0.04
1998,0.04
1997,0.04
1996,0.03
1995,0.06
1994,0.08
1993,0.10
1992,0.10
1991,0.12
1990,0.17
1989,0.09
1988,0.05
1987,0.05
1986,0.13
1985,0.05
1984,0.11
1983,0.05
1982,0.05
1981,0.05
1980,0.04
1979,0.04
1978,0.07
1977,0.08
1976,0.12
1975,0.15
1974,0.15
1973,0.15
1972,0.16
1971,0.16
1970,0.13
1969,0.11
1968,0.15
1967,0.15
1966,0.18
1965,0.11
1964,0.10
1963,0.17
1962,0.09
1961,0.08
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/comoros-wine-consumption-per-capita,
