Wine Consumption Per Capita in Costa Rica,
,
Date,Liters of Pure Alcohol
2019,0.38
2018,0.36
2017,0.37
2016,0.37
2015,0.37
2014,0.35
2013,0.32
2012,0.31
2011,0.31
2010,0.29
2009,0.18
2008,0.20
2007,0.19
2006,0.17
2005,0.15
2004,0.13
2003,0.13
2002,0.12
2001,0.11
2000,0.11
1999,0.18
1998,0.16
1997,0.16
1996,0.12
1995,0.11
1994,0.13
1993,0.05
1992,0.06
1991,0.09
1990,0.11
1989,0.10
1988,0.09
1987,0.08
1986,0.07
1985,0.05
1984,0.06
1983,0.05
1982,0.04
1981,0.06
1980,0.11
1979,0.11
1978,0.14
1977,0.19
1976,0.04
1975,0.02
1974,0.03
1973,0.03
1972,0.03
1971,0.04
1970,0.06
1969,0.04
1968,0.05
1967,0.05
1966,0.03
1965,0.06
1964,0.05
1963,0.05
1962,0.04
1961,0.06
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/costa-rica-wine-consumption-per-capita,
