Wine Consumption Per Capita in Croatia,
,
Date,Liters of Pure Alcohol
2019,3.60
2018,3.72
2017,3.70
2016,4.08
2015,3.76
2014,3.95
2013,4.52
2012,4.79
2011,5.08
2010,5.03
2009,4.75
2008,4.71
2007,4.62
2006,4.37
2005,4.25
2004,5.36
2003,5.71
2002,6.68
2001,6.23
2000,5.93
1999,6.57
1998,6.78
1997,6.81
1996,5.40
1995,4.95
1994,5.30
1993,6.00
1992,6.30
1991,6.13
1990,7.60
1989,5.10
1988,5.03
1987,6.58
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/croatia-wine-consumption-per-capita,
