Wine Consumption Per Capita in Cyprus,
,
Date,Liters of Pure Alcohol
2019,2.74
2018,2.72
2017,2.72
2016,2.72
2015,2.72
2014,2.79
2013,2.49
2012,2.61
2011,2.56
2010,2.67
2009,2.60
2008,2.97
2007,2.92
2006,2.92
2005,2.79
2004,2.64
2003,2.50
2002,2.70
2001,2.47
2000,2.52
1999,2.32
1998,2.03
1997,2.05
1996,2.14
1995,2.28
1994,2.21
1993,2.08
1992,2.26
1991,1.89
1990,2.15
1989,2.18
1988,2.20
1987,2.12
1986,1.90
1985,1.91
1984,1.89
1983,1.77
1982,1.77
1981,1.61
1980,1.48
1979,1.42
1978,1.39
1977,1.23
1976,1.19
1975,1.22
1974,1.25
1973,1.32
1972,1.41
1971,1.42
1970,1.43
1969,1.44
1968,1.46
1967,1.88
1966,1.51
1965,2.23
1964,2.25
1963,2.26
1962,1.53
1961,2.31
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/cyprus-wine-consumption-per-capita,
