Wine Consumption Per Capita in Czech Republic,
,
Date,Liters of Pure Alcohol
2019,2.78
2018,2.76
2017,2.76
2016,2.76
2015,2.66
2014,2.74
2013,2.63
2012,2.77
2011,2.71
2010,2.71
2009,2.61
2008,2.58
2007,2.59
2006,2.41
2005,2.36
2004,2.32
2003,2.30
2002,2.30
2001,2.31
2000,2.31
1999,2.18
1998,2.18
1997,2.18
1996,2.18
1995,2.14
1994,2.15
1993,2.16
1992,2.13
1991,2.12
1990,
1989,1.95
1988,1.85
1987,1.96
1986,1.76
1985,2.30
1984,2.24
1983,2.11
1982,2.11
1981,2.30
1980,2.23
1979,2.22
1978,2.50
1977,2.45
1976,2.34
1975,2.31
1974,2.16
1973,2.04
1972,2.04
1971,2.12
1970,2.04
1969,1.85
1968,1.69
1967,1.97
1966,2.07
1965,2.25
1964,1.99
1963,1.58
1962,1.81
1961,2.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/czech-republic-wine-consumption-per-capita,
