Wine Consumption Per Capita in Denmark,
,
Date,Liters of Pure Alcohol
2019,4.19
2018,4.22
2017,4.15
2016,4.25
2015,4.26
2014,4.31
2013,4.31
2012,4.09
2011,5.04
2010,4.92
2009,4.38
2008,4.47
2007,4.41
2006,4.34
2005,4.44
2004,4.32
2003,4.47
2002,4.43
2001,4.59
2000,4.52
1999,4.01
1998,3.91
1997,3.93
1996,3.78
1995,3.68
1994,3.48
1993,3.34
1992,3.22
1991,2.92
1990,2.82
1989,2.55
1988,2.88
1987,2.75
1986,2.66
1985,2.79
1984,2.56
1983,2.58
1982,2.39
1981,2.22
1980,1.95
1979,1.94
1978,1.71
1977,1.65
1976,1.77
1975,1.63
1974,1.38
1973,1.53
1972,1.07
1971,0.96
1970,0.85
1969,0.73
1968,0.63
1967,0.63
1966,0.60
1965,0.59
1964,0.55
1963,0.48
1962,0.56
1961,0.53
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/denmark-wine-consumption-per-capita,
