Wine Consumption Per Capita in Djibouti,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.02
2015,0.02
2014,0.02
2013,0.03
2012,0.03
2011,0.04
2010,0.03
2009,0.03
2008,0.04
2007,0.04
2006,0.03
2005,0.05
2004,0.04
2003,0.04
2002,0.04
2001,0.04
2000,0.04
1999,0.04
1998,0.07
1997,0.08
1996,0.11
1995,0.12
1994,0.19
1993,0.19
1992,0.16
1991,0.22
1990,0.21
1989,0.27
1988,0.31
1987,0.38
1986,0.34
1985,0.52
1984,0.51
1983,0.63
1982,0.49
1981,0.52
1980,0.48
1979,0.58
1978,0.51
1977,0.76
1976,0.75
1975,1.06
1974,1.41
1973,1.64
1972,1.71
1971,1.63
1970,1.67
1969,1.75
1968,2.34
1967,2.04
1966,2.40
1965,2.18
1964,2.55
1963,2.34
1962,2.90
1961,2.39
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/djibouti-wine-consumption-per-capita,
