Wine Consumption Per Capita in Dominica,
,
Date,Liters of Pure Alcohol
2019,0.29
2018,0.29
2017,0.29
2016,0.29
2015,0.29
2014,0.24
2013,0.41
2012,0.27
2011,0.28
2010,0.39
2009,0.24
2008,0.18
2007,0.42
2006,0.18
2005,0.41
2004,0.27
2003,0.19
2002,0.39
2001,0.18
2000,0.18
1999,0.29
1998,0.81
1997,0.81
1996,0.51
1995,0.83
1994,0.79
1993,0.75
1992,0.12
1991,0.30
1990,0.12
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/dominica-wine-consumption-per-capita,
