Wine Consumption Per Capita in Dominican Republic,
,
Date,Liters of Pure Alcohol
2019,0.34
2018,0.33
2017,0.33
2016,0.34
2015,0.36
2014,0.31
2013,0.26
2012,0.24
2011,0.22
2010,0.20
2009,0.19
2008,0.21
2007,0.21
2006,0.23
2005,0.25
2004,0.26
2003,0.28
2002,0.28
2001,0.29
2000,0.26
1999,0.10
1998,0.12
1997,0.09
1996,0.08
1995,0.07
1994,0.04
1993,0.04
1992,0.04
1991,0.04
1990,0.03
1989,0.04
1988,0.03
1987,0.03
1986,0.06
1985,0.04
1984,0.02
1983,0.01
1982,0.03
1981,0.04
1980,0.03
1979,0.04
1978,0.04
1977,0.05
1976,0.02
1975,0.03
1974,0.03
1973,0.02
1972,0.02
1971,0.02
1970,0.01
1969,0.01
1968,0.02
1967,0.01
1966,0.01
1965,0.01
1964,0.02
1963,0.02
1962,0.01
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/dominican-republic-wine-consumption-per-capita,
