Wine Consumption Per Capita in Ecuador,
,
Date,Liters of Pure Alcohol
2019,0.23
2018,0.23
2017,0.23
2016,0.23
2015,0.23
2014,0.25
2013,0.25
2012,0.26
2011,0.26
2010,0.37
2009,0.37
2008,0.39
2007,0.41
2006,0.40
2005,0.39
2004,0.49
2003,0.40
2002,0.15
2001,0.12
2000,0.07
1999,0.03
1998,0.05
1997,0.06
1996,0.13
1995,0.13
1994,0.31
1993,0.13
1992,0.08
1991,0.06
1990,0.02
1989,0.03
1988,0.04
1987,0.05
1986,0.04
1985,0.01
1984,0.02
1983,0.02
1982,0.04
1981,0.06
1980,0.07
1979,0.06
1978,0.05
1977,0.04
1976,0.03
1975,0.03
1974,0.03
1973,0.02
1972,0.02
1971,0.01
1970,0.01
1969,0.01
1968,0.01
1967,0.01
1966,0.01
1965,0.01
1964,0.02
1963,0.01
1962,0.01
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/ecuador-wine-consumption-per-capita,
