Wine Consumption Per Capita in El Salvador,
,
Date,Liters of Pure Alcohol
2019,0.05
2018,0.05
2017,0.05
2016,0.05
2015,0.05
2014,0.05
2013,0.05
2012,0.05
2011,0.04
2010,0.04
2009,0.04
2008,0.04
2007,0.04
2006,0.04
2005,0.03
2004,0.03
2003,0.03
2002,0.03
2001,0.03
2000,0.03
1999,0.04
1998,0.04
1997,0.03
1996,0.03
1995,0.04
1994,0.05
1993,0.03
1992,0.03
1991,0.03
1990,0.02
1989,0.02
1988,0.02
1987,0.03
1986,0.02
1985,0.01
1984,0.04
1983,0.01
1982,0.01
1981,0.01
1980,0.01
1979,0.03
1978,0.03
1977,0.02
1976,0.03
1975,0.02
1974,0.02
1973,0.02
1972,0.01
1971,0.01
1970,0.01
1969,0.02
1968,0.02
1967,0.01
1966,0.03
1965,0.01
1964,0.01
1963,0.01
1962,0.01
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/el-salvador-wine-consumption-per-capita,
