Wine Consumption Per Capita in Equatorial Guinea,
,
Date,Liters of Pure Alcohol
2019,0.85
2018,0.94
2017,1.15
2016,1.11
2015,1.17
2014,1.32
2013,1.07
2012,2.46
2011,2.39
2010,2.61
2009,2.65
2008,3.09
2007,2.73
2006,3.09
2005,2.86
2004,3.82
2003,3.82
2002,3.82
2001,3.82
2000,3.82
1999,0.70
1998,0.72
1997,0.74
1996,0.75
1995,1.93
1994,1.37
1993,4.37
1992,2.80
1991,3.30
1990,2.29
1989,5.82
1988,5.42
1987,2.07
1986,1.30
1985,0.00
1984,0.00
1983,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/equatorial-guinea-wine-consumption-per-capita,
