Wine Consumption Per Capita in Eswatini,
,
Date,Liters of Pure Alcohol
2019,1.29
2018,1.19
2017,1.19
2016,1.19
2015,1.19
2014,1.37
2013,0.37
2012,0.06
2011,0.06
2010,0.05
2009,0.04
2008,0.02
2007,0.04
2006,0.01
2005,0.02
2004,0.02
2003,0.05
2002,0.16
2001,0.26
2000,0.26
1999,1.07
1998,0.72
1997,1.08
1996,0.00
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.00
1985,1.03
1984,1.03
1983,0.72
1982,1.09
1981,0.72
1980,0.69
1979,0.52
1978,0.98
1977,0.71
1976,0.52
1975,0.54
1974,0.50
1973,0.96
1972,0.29
1971,0.30
1970,0.18
1969,0.12
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/swaziland-wine-consumption-per-capita,
