Wine Consumption Per Capita in Fiji,
,
Date,Liters of Pure Alcohol
2019,0.27
2018,0.26
2017,0.26
2016,0.24
2015,0.25
2014,0.19
2013,0.23
2012,0.03
2011,0.02
2010,0.02
2009,0.02
2008,0.02
2007,0.02
2006,0.02
2005,0.02
2004,0.02
2003,0.01
2002,0.02
2001,0.11
2000,0.11
1999,0.23
1998,0.21
1997,0.20
1996,0.18
1995,0.12
1994,0.12
1993,0.11
1992,0.11
1991,0.10
1990,0.11
1989,0.13
1988,0.16
1987,0.11
1986,0.11
1985,0.15
1984,0.13
1983,0.13
1982,0.14
1981,0.12
1980,0.10
1979,0.11
1978,0.09
1977,0.11
1976,0.09
1975,0.08
1974,0.11
1973,0.16
1972,0.10
1971,0.09
1970,0.08
1969,0.05
1968,0.06
1967,0.04
1966,0.03
1965,0.04
1964,0.04
1963,0.03
1962,0.02
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/fiji-wine-consumption-per-capita,
