Wine Consumption Per Capita in Finland,
,
Date,Liters of Pure Alcohol
2019,1.73
2018,1.72
2017,1.75
2016,1.74
2015,1.75
2014,1.80
2013,1.84
2012,1.89
2011,1.89
2010,1.86
2009,1.85
2008,1.85
2007,1.82
2006,1.55
2005,1.47
2004,1.42
2003,1.43
2002,1.31
2001,1.19
2000,1.07
1999,1.91
1998,1.73
1997,1.65
1996,1.48
1995,1.42
1994,1.30
1993,1.21
1992,1.20
1991,1.15
1990,1.02
1989,0.98
1988,0.93
1987,0.89
1986,0.88
1985,0.83
1984,0.85
1983,0.93
1982,0.97
1981,1.07
1980,0.93
1979,0.91
1978,0.92
1977,0.88
1976,0.92
1975,0.99
1974,1.16
1973,0.92
1972,0.76
1971,0.76
1970,0.70
1969,0.65
1968,0.65
1967,0.62
1966,0.58
1965,0.53
1964,0.49
1963,0.42
1962,0.37
1961,0.32
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/finland-wine-consumption-per-capita,
