Wine Consumption Per Capita in France,
,
Date,Liters of Pure Alcohol
2019,6.31
2018,6.29
2017,6.79
2016,6.90
2015,7.09
2014,7.04
2013,7.13
2012,7.33
2011,7.41
2010,7.27
2009,7.41
2008,7.33
2007,7.60
2006,7.75
2005,7.65
2004,7.94
2003,8.17
2002,8.52
2001,8.62
2000,8.54
1999,7.80
1998,7.89
1997,8.02
1996,8.18
1995,8.61
1994,8.56
1993,8.71
1992,8.87
1991,9.21
1990,10.01
1989,10.24
1988,10.28
1987,10.42
1986,10.62
1985,11.10
1984,11.45
1983,11.91
1982,12.37
1981,12.55
1980,12.88
1979,13.19
1978,13.75
1977,14.64
1976,14.59
1975,14.99
1974,15.09
1973,15.34
1972,15.58
1971,15.77
1970,15.96
1969,16.48
1968,16.94
1967,16.97
1966,17.23
1965,17.39
1964,17.91
1963,18.94
1962,19.71
1961,20.56
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/france-wine-consumption-per-capita,
