Wine Consumption Per Capita in Gabon,
,
Date,Liters of Pure Alcohol
2019,0.73
2018,0.77
2017,0.77
2016,0.77
2015,0.77
2014,0.73
2013,0.82
2012,0.89
2011,1.09
2010,1.14
2009,0.92
2008,0.92
2007,1.14
2006,0.96
2005,0.84
2004,0.99
2003,0.84
2002,1.27
2001,1.55
2000,1.55
1999,1.96
1998,2.02
1997,2.25
1996,1.93
1995,2.01
1994,1.58
1993,2.02
1992,1.77
1991,1.93
1990,2.05
1989,2.43
1988,3.49
1987,3.59
1986,5.00
1985,5.40
1984,6.14
1983,5.79
1982,5.61
1981,4.48
1980,4.54
1979,4.49
1978,5.35
1977,6.90
1976,8.56
1975,5.05
1974,3.28
1973,3.20
1972,3.61
1971,3.64
1970,3.85
1969,4.34
1968,4.50
1967,4.74
1966,4.16
1965,3.99
1964,3.74
1963,3.53
1962,4.05
1961,3.51
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/gabon-wine-consumption-per-capita,
