Wine Consumption Per Capita in Gambia,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.02
2015,0.06
2014,0.04
2013,0.02
2012,0.02
2011,0.02
2010,0.02
2009,0.03
2008,0.04
2007,0.05
2006,0.03
2005,0.05
2004,0.05
2003,0.04
2002,0.05
2001,0.02
2000,0.02
1999,0.00
1998,0.03
1997,0.06
1996,0.06
1995,0.03
1994,0.09
1993,0.06
1992,0.05
1991,0.01
1990,0.05
1989,0.03
1988,0.07
1987,0.09
1986,0.09
1985,0.10
1984,0.14
1983,0.07
1982,0.08
1981,0.08
1980,0.08
1979,0.10
1978,0.12
1977,0.14
1976,0.10
1975,0.15
1974,0.14
1973,0.14
1972,0.11
1971,0.12
1970,0.11
1969,0.12
1968,0.14
1967,0.16
1966,0.10
1965,0.12
1964,0.13
1963,0.16
1962,0.14
1961,0.17
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/gambia-wine-consumption-per-capita,
