Wine Consumption Per Capita in Georgia,
,
Date,Liters of Pure Alcohol
2019,1.26
2018,1.15
2017,1.53
2016,3.29
2015,3.10
2014,2.37
2013,2.25
2012,2.75
2011,3.19
2010,3.16
2009,3.28
2008,3.98
2007,3.70
2006,2.86
2005,1.64
2004,1.03
2003,1.02
2002,1.12
2001,1.24
2000,1.56
1999,1.87
1998,1.89
1997,2.14
1996,2.38
1995,2.40
1994,4.86
1993,4.87
1992,5.26
1991,3.17
1990,4.84
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/georgia-wine-consumption-per-capita,
