Wine Consumption Per Capita in Germany,
,
Date,Liters of Pure Alcohol
2019,3.10
2018,3.11
2017,3.11
2016,3.11
2015,3.11
2014,3.11
2013,3.11
2012,3.23
2011,3.24
2010,3.22
2009,3.11
2008,3.24
2007,3.24
2006,3.13
2005,3.13
2004,3.06
2003,3.14
2002,3.14
2001,3.21
2000,3.18
1999,3.00
1998,3.05
1997,3.09
1996,3.06
1995,3.01
1994,2.93
1993,3.07
1992,3.03
1991,3.00
1990,3.73
1989,3.74
1988,3.67
1987,3.66
1986,3.32
1985,3.66
1984,3.70
1983,3.84
1982,3.62
1981,3.62
1980,3.75
1979,3.59
1978,3.54
1977,3.51
1976,3.57
1975,3.55
1974,3.07
1973,3.34
1972,3.02
1971,2.85
1970,2.49
1969,2.43
1968,2.37
1967,2.42
1966,2.41
1965,2.60
1964,2.77
1963,2.36
1962,2.15
1961,1.86
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/germany-wine-consumption-per-capita,
