Wine Consumption Per Capita in Greece,
,
Date,Liters of Pure Alcohol
2019,2.57
2018,2.63
2017,2.88
2016,2.84
2015,3.08
2014,3.37
2013,3.81
2012,3.88
2011,3.59
2010,4.08
2009,3.81
2008,4.03
2007,4.17
2006,4.06
2005,4.56
2004,4.21
2003,3.93
2002,3.16
2001,3.79
2000,3.69
1999,4.57
1998,4.17
1997,4.56
1996,4.47
1995,4.56
1994,4.50
1993,4.71
1992,4.24
1991,4.39
1990,4.49
1989,4.12
1988,4.13
1987,4.41
1986,3.30
1985,5.21
1984,6.16
1983,6.21
1982,4.99
1981,6.38
1980,6.40
1979,6.16
1978,5.79
1977,6.02
1976,4.99
1975,5.69
1974,5.21
1973,4.71
1972,4.50
1971,5.74
1970,4.49
1969,4.39
1968,4.12
1967,4.56
1966,4.13
1965,4.24
1964,4.41
1963,4.47
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/greece-wine-consumption-per-capita,
