Wine Consumption Per Capita in Grenada,
,
Date,Liters of Pure Alcohol
2019,0.69
2018,0.69
2017,0.67
2016,0.67
2015,0.67
2014,0.68
2013,0.67
2012,0.64
2011,0.64
2010,0.61
2009,0.61
2008,0.61
2007,0.56
2006,0.53
2005,0.45
2004,0.44
2003,0.42
2002,0.44
2001,0.38
2000,0.43
1999,1.10
1998,0.96
1997,0.94
1996,0.66
1995,0.59
1994,0.27
1993,0.24
1992,0.18
1991,0.23
1990,0.33
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/grenada-wine-consumption-per-capita,
