Wine Consumption Per Capita in Guatemala,
,
Date,Liters of Pure Alcohol
2019,0.03
2018,0.03
2017,0.03
2016,0.03
2015,0.03
2014,0.03
2013,0.03
2012,0.03
2011,0.03
2010,0.03
2009,0.03
2008,0.03
2007,0.11
2006,0.12
2005,0.13
2004,0.12
2003,0.03
2002,0.03
2001,0.03
2000,0.03
1999,0.03
1998,0.03
1997,0.03
1996,0.02
1995,0.04
1994,0.04
1993,0.03
1992,0.02
1991,0.02
1990,0.01
1989,0.02
1988,0.01
1987,0.01
1986,0.02
1985,0.01
1984,0.03
1983,0.00
1982,0.00
1981,0.00
1980,0.00
1979,0.00
1978,0.00
1977,0.00
1976,0.00
1975,0.00
1974,0.00
1973,0.00
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.00
1964,0.00
1963,0.00
1962,0.00
1961,0.00
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/guatemala-wine-consumption-per-capita,
