Wine Consumption Per Capita in Guinea-Bissau,
,
Date,Liters of Pure Alcohol
2019,1.22
2018,1.18
2017,1.18
2016,1.05
2015,0.93
2014,0.91
2013,0.81
2012,0.90
2011,0.91
2010,0.70
2009,0.54
2008,0.54
2007,0.60
2006,0.42
2005,0.61
2004,0.52
2003,0.55
2002,0.65
2001,0.46
2000,0.46
1999,0.40
1998,0.20
1997,0.61
1996,0.45
1995,0.37
1994,0.48
1993,0.69
1992,0.53
1991,0.44
1990,0.47
1989,0.42
1988,0.27
1987,0.07
1986,0.04
1985,0.19
1984,0.13
1983,0.30
1982,0.18
1981,0.21
1980,0.10
1979,0.17
1978,0.09
1977,0.60
1976,0.69
1975,0.98
1974,1.22
1973,1.46
1972,1.25
1971,1.30
1970,1.20
1969,1.29
1968,1.48
1967,1.23
1966,1.61
1965,1.54
1964,1.56
1963,1.43
1962,0.99
1961,0.86
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/guinea-bissau-wine-consumption-per-capita,
