Wine Consumption Per Capita in Haiti,
,
Date,Liters of Pure Alcohol
2019,0.10
2018,0.10
2017,0.10
2016,0.08
2015,0.08
2014,0.08
2013,0.08
2012,0.08
2011,0.08
2010,0.07
2009,0.06
2008,0.05
2007,0.05
2006,0.05
2005,0.04
2004,0.04
2003,0.04
2002,0.04
2001,0.04
2000,0.04
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.01
1994,0.00
1993,0.00
1992,0.00
1991,0.01
1990,0.01
1989,0.01
1988,0.02
1987,0.02
1986,0.01
1985,0.03
1984,0.02
1983,0.01
1982,0.02
1981,0.01
1980,0.01
1979,0.01
1978,0.01
1977,0.01
1976,0.01
1975,0.01
1974,0.01
1973,0.01
1972,0.01
1971,0.01
1970,0.00
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.01
1964,0.01
1963,0.01
1962,0.01
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/haiti-wine-consumption-per-capita,
