Wine Consumption Per Capita in Honduras,
,
Date,Liters of Pure Alcohol
2019,0.02
2018,0.02
2017,0.02
2016,0.02
2015,0.03
2014,0.02
2013,0.02
2012,0.03
2011,0.03
2010,0.03
2009,0.02
2008,0.03
2007,0.03
2006,0.02
2005,0.02
2004,0.02
2003,0.02
2002,0.02
2001,0.02
2000,0.02
1999,0.03
1998,0.02
1997,0.03
1996,0.02
1995,0.02
1994,0.02
1993,0.02
1992,0.01
1991,0.01
1990,0.01
1989,0.02
1988,0.03
1987,0.02
1986,0.02
1985,0.01
1984,0.02
1983,0.01
1982,0.01
1981,0.03
1980,0.03
1979,0.03
1978,0.02
1977,0.02
1976,0.01
1975,0.01
1974,0.01
1973,0.01
1972,0.01
1971,0.01
1970,0.05
1969,0.03
1968,0.03
1967,0.02
1966,0.03
1965,0.02
1964,0.01
1963,0.01
1962,0.01
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/honduras-wine-consumption-per-capita,
