Wine Consumption Per Capita in Hungary,
,
Date,Liters of Pure Alcohol
2019,3.31
2018,3.33
2017,3.33
2016,3.61
2015,3.40
2014,2.93
2013,3.20
2012,3.19
2011,3.51
2010,3.16
2009,3.19
2008,3.27
2007,3.87
2006,4.54
2005,4.51
2004,4.66
2003,4.60
2002,4.88
2001,4.86
2000,4.08
1999,4.37
1998,4.81
1997,4.59
1996,4.37
1995,3.85
1994,4.27
1993,4.63
1992,4.42
1991,4.31
1990,4.17
1989,3.44
1988,3.15
1987,3.32
1986,3.57
1985,3.81
1984,4.72
1983,4.56
1982,4.91
1981,4.59
1980,5.35
1979,4.78
1978,4.73
1977,4.73
1976,4.89
1975,4.72
1974,4.77
1973,5.31
1972,5.30
1971,5.33
1970,5.24
1969,5.37
1968,4.88
1967,4.83
1966,4.32
1965,4.70
1964,4.94
1963,4.25
1962,4.59
1961,4.30
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/hungary-wine-consumption-per-capita,
