Wine Consumption Per Capita in Iceland,
,
Date,Liters of Pure Alcohol
2019,2.15
2018,2.11
2017,2.14
2016,2.09
2015,2.15
2014,2.02
2013,1.96
2012,1.95
2011,1.90
2010,1.87
2009,1.94
2008,2.12
2007,2.04
2006,1.97
2005,1.95
2004,1.83
2003,1.71
2002,1.59
2001,1.48
2000,1.34
1999,1.25
1998,1.18
1997,0.97
1996,0.91
1995,0.81
1994,0.78
1993,0.76
1992,0.79
1991,0.80
1990,0.76
1989,0.67
1988,0.90
1987,1.01
1986,1.03
1985,1.09
1984,1.19
1983,1.14
1982,1.02
1981,0.94
1980,0.90
1979,0.85
1978,0.66
1977,0.62
1976,0.55
1975,0.47
1974,0.41
1973,0.37
1972,0.34
1971,0.31
1970,0.29
1969,0.26
1968,0.26
1967,0.27
1966,0.25
1965,0.23
1964,0.22
1963,0.20
1962,0.19
1961,0.17
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/iceland-wine-consumption-per-capita,
