Wine Consumption Per Capita in Israel,
,
Date,Liters of Pure Alcohol
2019,0.06
2018,0.07
2017,0.07
2016,0.07
2015,0.07
2014,0.07
2013,0.10
2012,0.12
2011,0.13
2010,0.13
2009,0.13
2008,0.16
2007,0.12
2006,0.13
2005,0.16
2004,0.17
2003,0.16
2002,0.23
2001,0.19
2000,0.25
1999,0.23
1998,0.25
1997,0.25
1996,0.21
1995,0.36
1994,0.35
1993,0.43
1992,0.41
1991,0.41
1990,0.43
1989,0.47
1988,0.50
1987,0.56
1986,0.61
1985,0.63
1984,0.60
1983,0.65
1982,0.58
1981,0.59
1980,0.66
1979,0.69
1978,0.68
1977,0.72
1976,1.54
1975,1.49
1974,1.62
1973,1.72
1972,1.94
1971,1.45
1970,1.42
1969,1.80
1968,1.69
1967,1.92
1966,1.70
1965,1.96
1964,2.26
1963,1.44
1962,2.03
1961,1.71
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/israel-wine-consumption-per-capita,
