Wine Consumption Per Capita in Italy,
,
Date,Liters of Pure Alcohol
2019,4.89
2018,5.08
2017,4.71
2016,4.58
2015,4.62
2014,4.85
2013,4.85
2012,4.99
2011,4.45
2010,4.45
2009,4.79
2008,5.42
2007,5.72
2006,5.70
2005,5.85
2004,6.19
2003,6.47
2002,6.54
2001,6.93
2000,7.06
1999,6.60
1998,6.67
1997,6.88
1996,6.98
1995,7.19
1994,7.57
1993,7.64
1992,7.87
1991,8.12
1990,8.22
1989,8.27
1988,8.50
1987,8.89
1986,9.39
1985,10.29
1984,11.20
1983,11.49
1982,11.48
1981,12.13
1980,13.15
1979,12.81
1978,13.03
1977,13.46
1976,14.18
1975,15.10
1974,15.89
1973,15.93
1972,16.18
1971,16.44
1970,16.58
1969,16.75
1968,16.89
1967,16.20
1966,16.10
1965,16.00
1964,15.09
1963,15.66
1962,17.23
1961,17.24
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/italy-wine-consumption-per-capita,
