Wine Consumption Per Capita in Jamaica,
,
Date,Liters of Pure Alcohol
2019,0.35
2018,0.36
2017,0.35
2016,0.34
2015,0.38
2014,0.39
2013,0.42
2012,0.45
2011,0.47
2010,0.57
2009,0.62
2008,0.64
2007,0.59
2006,0.57
2005,0.48
2004,0.43
2003,0.36
2002,0.35
2001,0.35
2000,0.37
1999,0.07
1998,0.06
1997,0.07
1996,0.07
1995,0.07
1994,0.06
1993,0.03
1992,0.03
1991,0.04
1990,0.02
1989,0.06
1988,0.03
1987,0.02
1986,0.01
1985,0.02
1984,0.00
1983,0.00
1982,0.00
1981,0.00
1980,0.00
1979,0.00
1978,0.00
1977,0.00
1976,0.00
1975,0.02
1974,0.05
1973,0.16
1972,0.09
1971,0.13
1970,0.08
1969,0.06
1968,0.06
1967,0.06
1966,0.05
1965,0.05
1964,0.05
1963,0.04
1962,0.05
1961,0.04
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/jamaica-wine-consumption-per-capita,
