Wine Consumption Per Capita in Japan,
,
Date,Liters of Pure Alcohol
2019,0.25
2018,0.25
2017,0.25
2016,0.25
2015,0.25
2014,0.25
2013,0.25
2012,0.25
2011,0.25
2010,0.25
2009,0.25
2008,0.25
2007,0.24
2006,0.26
2005,0.29
2004,0.31
2003,0.27
2002,0.28
2001,0.28
2000,0.29
1999,0.30
1998,0.40
1997,0.31
1996,0.21
1995,0.18
1994,0.17
1993,0.15
1992,0.14
1991,0.14
1990,0.16
1989,0.17
1988,0.13
1987,0.11
1986,0.09
1985,0.09
1984,0.09
1983,0.09
1982,0.09
1981,0.08
1980,0.08
1979,0.12
1978,0.12
1977,0.10
1976,0.09
1975,0.07
1974,0.10
1973,0.06
1972,0.04
1971,0.03
1970,0.03
1969,0.03
1968,0.04
1967,0.04
1966,0.02
1965,0.02
1964,0.01
1963,0.03
1962,0.03
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/japan-wine-consumption-per-capita,
