Wine Consumption Per Capita in Kazakhstan,
,
Date,Liters of Pure Alcohol
2019,0.15
2018,0.16
2017,0.16
2016,0.10
2015,0.09
2014,0.07
2013,0.06
2012,0.05
2011,0.05
2010,0.07
2009,0.08
2008,0.09
2007,0.16
2006,0.25
2005,0.31
2004,0.29
2003,0.38
2002,0.29
2001,0.18
2000,0.35
1999,0.29
1998,0.36
1997,0.27
1996,0.18
1995,0.16
1994,0.37
1993,0.31
1992,0.48
1991,0.83
1990,0.70
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/kazakhstan-wine-consumption-per-capita,
